UNIX DATE,DATE,HOUR,DAY,MONTH,YEAR,BOROUGH,DEATHS,INJURIES,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,Detail,Moonphase,Summary,Sunrise,Sunset,cloudCover,dewPoint,humidity,precipIntensity,precipIntensityMax,precipProbability,pressure,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,visibility,windGust,windGustTime,windSpeed
1546279200,12/31/2018,18,Monday,12,2018,BRONX,0.0,0,10454.0,40.807556,-73.919235,"(40.807556, -73.919235)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546279200,12/31/2018,18,Monday,12,2018,BRONX,0.0,0,10471.0,40.90313,-73.9054,"(40.90313, -73.9054)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546279200,12/31/2018,18,Monday,12,2018,BROOKLYN,0.0,0,11203.0,40.64854,-73.924255,"(40.64854, -73.924255)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546279200,12/31/2018,18,Monday,12,2018,BROOKLYN,0.0,0,11219.0,40.625454,-74.00565999999998,"(40.625454, -74.00566)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546279200,12/31/2018,18,Monday,12,2018,STATEN ISLAND,0.0,0,10301.0,40.635933,-74.07585,"(40.635933, -74.07585)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546279200,12/31/2018,18,Monday,12,2018,,0.0,0,,40.71291400000001,-73.734436,"(40.712914, -73.734436)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546279200,12/31/2018,18,Monday,12,2018,,0.0,0,,40.57316,-74.11481500000002,"(40.57316, -74.114815)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546279200,12/31/2018,18,Monday,12,2018,QUEENS,0.0,1,11413.0,40.672222,-73.7556,"(40.672222, -73.7556)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546279200,12/31/2018,18,Monday,12,2018,,0.0,1,,40.72293,-73.98865,"(40.72293, -73.98865)",rain,0.83,Rain starting in the afternoon.,1546258867,1546292358,0.66,34.87,0.85,0.0317,0.1767,1.0,1024.06,45.56,1546315200,31.21,1546261200,8.04,9.14,1546304400,3.2
1546192800,12/30/2018,18,Sunday,12,2018,BROOKLYN,0.0,0,11211.0,40.71778,-73.93245999999998,"(40.71778, -73.93246)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,BROOKLYN,0.0,0,11226.0,40.64671,-73.95810999999998,"(40.64671, -73.95811)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,BROOKLYN,0.0,0,11230.0,40.61701,-73.969124,"(40.61701, -73.969124)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,QUEENS,0.0,0,11373.0,40.738083,-73.88029,"(40.738083, -73.88029)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,QUEENS,0.0,0,11385.0,40.713284,-73.91218,"(40.713284, -73.91218)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,QUEENS,0.0,0,11416.0,40.684692,-73.86064,"(40.684692, -73.86064)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,STATEN ISLAND,0.0,0,10304.0,40.607983,-74.08463,"(40.607983, -74.08463)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,,0.0,0,,40.641037,-74.02181,"(40.641037, -74.02181)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,,0.0,0,,40.7528,-73.979294,"(40.7528, -73.979294)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,,0.0,0,,40.75649600000001,-73.97237,"(40.756496, -73.97237)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,,0.0,0,,40.75649600000001,-73.97237,"(40.756496, -73.97237)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
1546192800,12/30/2018,18,Sunday,12,2018,BRONX,0.0,1,10462.0,40.83367,-73.85675,"(40.83367, -73.85675)",partly-cloudy-day,0.79,Mostly cloudy throughout the day.,1546172458,1546205911,0.76,27.28,0.69,0.0,0.0,0.0,1023.42,38.91,1546146000,34.2,1546228800,9.87,5.93,1546149600,0.73
